Failed to open /opt/hpc/software/compiler/intel/intel-compiler-2017.5.239/compiler/lib/intel64_lin/libiomp5.so, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 24K of event 'cpu-clock:u'
# Event count (approx.): 124256265875
#
# Overhead  Symbol                                                                            Shared Object                        
# ........  ................................................................................  .....................................
#
    14.12%  [.] pre_step3d_mod_mp_pre_step3d_tile_                                            oceanM.s47_SELQUANT_best_20260810.bak
    10.77%  [.] uct_dc_mlx5_iface_progress                                                    libuct_ib.so.0.0.0                   
    10.07%  [.] step3d_t_mod_mp_step3d_t_tile_                                                oceanM.s47_SELQUANT_best_20260810.bak
     7.40%  [.] __libm_pow_e7                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     5.37%  [.] biology_mod_mp_biology_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     5.09%  [.] t3dmix_mod_mp_t3dmix4_tile_                                                   oceanM.s47_SELQUANT_best_20260810.bak
     4.97%  [.] gls_corstep_mod_mp_gls_corstep_tile_                                          oceanM.s47_SELQUANT_best_20260810.bak
     4.08%  [.] step2d_mod_mp_step2d_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     4.08%  [.] mp_exchange_mod_mp_mp_exchange4d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     2.20%  [.] set_avg_mod_mp_set_avg_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     2.09%  [.] nesting_mod_mp_get_contact3d_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     2.01%  [.] __libm_exp_e7                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.84%  [.] ucp_worker_progress                                                           libucp.so.0.0.0                      
     1.72%  [.] uct_mm_iface_progress                                                         libuct.so.0.0.0                      
     1.59%  [.] nesting_mod_mp_put_refine3d_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     1.14%  [.] rho_eos_mod_mp_rho_eos_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     1.14%  [.] rhs3d_mod_mp_rhs3d_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     1.01%  [.] step3d_uv_mod_mp_step3d_uv_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.99%  [.] nesting_mod_mp_bry_fluxes_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.96%  [.] nesting_mod_mp_collect_bry_fluxes_                                            oceanM.s47_SELQUANT_best_20260810.bak
     0.94%  [.] prsgrd_mod_mp_prsgrd_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.91%  [.] opal_progress                                                                 libopen-pal.so.40.20.4               
     0.88%  [.] mp_exchange_mod_mp_mp_exchange3d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.83%  [.] __memcpy_sse2                                                                 libc-2.17.so                         
     0.80%  [.] __powr8i4                                                                     oceanM.s47_SELQUANT_best_20260810.bak
     0.74%  [.] mca_pml_ucx_send                                                              mca_pml_ucx.so                       
     0.70%  [.] biology_mod_mp_ta_iter_1_                                                     oceanM.s47_SELQUANT_best_20260810.bak
     0.68%  [.] ompi_coll_libnbc_progress                                                     mca_coll_libnbc.so                   
     0.67%  [.] __memset_x86_64                                                               libc-2.17.so                         
     0.67%  [.] mp_exchange_mod_mp_mp_exchange4d_q_                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.66%  [.] hmixing_mod_mp_hmixing_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     0.61%  [.] gls_prestep_mod_mp_gls_prestep_tile_                                          oceanM.s47_SELQUANT_best_20260810.bak
     0.55%  [.] opal_timer_linux_get_cycles_sys_timer                                         libopen-pal.so.40.20.4               
     0.51%  [.] nesting_mod_mp_fine2coarse3d_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.49%  [.] wetdry_mod_mp_wetdry_mask_tile_                                               oceanM.s47_SELQUANT_best_20260810.bak
     0.46%  [.] mp_exchange_mod_mp_mp_exchange2d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.46%  [.] uv3dmix_mod_mp_uv3dmix2_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.36%  [.] omega_mod_mp_omega_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     0.36%  [.] set_massflux_mod_mp_set_massflux_tile_                                        oceanM.s47_SELQUANT_best_20260810.bak
     0.29%  [.] lmd_swfrac_tile_                                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.25%  [.] set_ngfld_                                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.23%  [.] wvelocity_mod_mp_wvelocity_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.21%  [.] mca_pml_ucx_progress                                                          mca_pml_ucx.so                       
     0.21%  [.] set_depth_mod_mp_set_depth_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.19%  [.] ompi_op_base_2buff_sum_fortran_double_precision                               libmpi.so.40.20.4                    
     0.17%  [.] biology_mod_mp_drtsafe_                                                       oceanM.s47_SELQUANT_best_20260810.bak
     0.17%  [.] pow                                                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.15%  [.] ucp_eager_only_handler                                                        libucp.so.0.0.0                      
     0.15%  [.] __libm_cos_y8                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.14%  [.] t3dbc_mod_mp_t3dbc_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     0.14%  [.] uct_mm_ep_am_bcopy                                                            libuct.so.0.0.0                      
     0.13%  [.] exp                                                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.11%  [.] wetdry_mod_mp_wetdry_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak


#
# (Tip: Search options using a keyword: perf report -h <keyword>)
#
