Failed to open /opt/hpc/software/compiler/intel/intel-compiler-2017.5.239/compiler/lib/intel64_lin/libiomp5.so, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cpu-clock:u'
# Event count (approx.): 125899481750
#
# Overhead  Symbol                                                                            Shared Object                        
# ........  ................................................................................  .....................................
#
    13.82%  [.] pre_step3d_mod_mp_pre_step3d_tile_                                            oceanM.s47_SELQUANT_best_20260810.bak
    11.50%  [.] uct_dc_mlx5_iface_progress                                                    libuct_ib.so.0.0.0                   
    10.04%  [.] step3d_t_mod_mp_step3d_t_tile_                                                oceanM.s47_SELQUANT_best_20260810.bak
     7.10%  [.] __libm_pow_e7                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     5.65%  [.] biology_mod_mp_biology_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     5.03%  [.] t3dmix_mod_mp_t3dmix4_tile_                                                   oceanM.s47_SELQUANT_best_20260810.bak
     4.88%  [.] gls_corstep_mod_mp_gls_corstep_tile_                                          oceanM.s47_SELQUANT_best_20260810.bak
     4.25%  [.] step2d_mod_mp_step2d_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     3.76%  [.] mp_exchange_mod_mp_mp_exchange4d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     2.21%  [.] ucp_worker_progress                                                           libucp.so.0.0.0                      
     2.10%  [.] set_avg_mod_mp_set_avg_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     2.09%  [.] nesting_mod_mp_get_contact3d_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.92%  [.] uct_mm_iface_progress                                                         libuct.so.0.0.0                      
     1.83%  [.] __libm_exp_e7                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     1.64%  [.] nesting_mod_mp_put_refine3d_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     1.11%  [.] rho_eos_mod_mp_rho_eos_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     1.09%  [.] rhs3d_mod_mp_rhs3d_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     1.03%  [.] step3d_uv_mod_mp_step3d_uv_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     1.03%  [.] nesting_mod_mp_bry_fluxes_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     1.01%  [.] opal_progress                                                                 libopen-pal.so.40.20.4               
     0.97%  [.] nesting_mod_mp_collect_bry_fluxes_                                            oceanM.s47_SELQUANT_best_20260810.bak
     0.89%  [.] __powr8i4                                                                     oceanM.s47_SELQUANT_best_20260810.bak
     0.85%  [.] __memcpy_sse2                                                                 libc-2.17.so                         
     0.85%  [.] mp_exchange_mod_mp_mp_exchange3d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.83%  [.] prsgrd_mod_mp_prsgrd_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.79%  [.] mca_pml_ucx_send                                                              mca_pml_ucx.so                       
     0.77%  [.] opal_timer_linux_get_cycles_sys_timer                                         libopen-pal.so.40.20.4               
     0.74%  [.] ompi_coll_libnbc_progress                                                     mca_coll_libnbc.so                   
     0.65%  [.] gls_prestep_mod_mp_gls_prestep_tile_                                          oceanM.s47_SELQUANT_best_20260810.bak
     0.62%  [.] hmixing_mod_mp_hmixing_tile_                                                  oceanM.s47_SELQUANT_best_20260810.bak
     0.59%  [.] __memset_x86_64                                                               libc-2.17.so                         
